date,3month,2year,5year,7year,10year,30year
2024-12-01,4.39,4.23,4.25,4.32,4.39,4.58
2024-11-01,4.62,4.26,4.23,4.29,4.36,4.54
2024-10-01,4.72,3.97,3.91,3.99,4.1,4.38
2024-09-01,4.92,3.62,3.5,3.6,3.72,4.04
2024-08-01,5.3,3.97,3.71,3.77,3.87,4.15
2024-07-01,5.43,4.5,4.16,4.19,4.25,4.46
2024-06-01,5.51,4.74,4.32,4.3,4.31,4.44
2024-05-01,5.46,4.86,4.5,4.49,4.48,4.62
2024-04-01,5.44,4.87,4.56,4.56,4.54,4.66
2024-03-01,5.47,4.59,4.2,4.21,4.21,4.36
2024-02-01,5.44,4.54,4.19,4.21,4.21,4.38
2024-01-01,5.45,4.32,3.98,4.03,4.06,4.26
2023-12-01,5.44,4.46,4.0,4.04,4.02,4.14
2023-11-01,5.52,4.88,4.49,4.53,4.5,4.66
2023-10-01,5.6,5.07,4.77,4.82,4.8,4.95
2023-09-01,5.56,5.02,4.49,4.46,4.38,4.47
2023-08-01,5.56,4.9,4.31,4.26,4.17,4.28
2023-07-01,5.49,4.83,4.14,4.03,3.9,3.96
2023-06-01,5.42,4.64,3.95,3.85,3.75,3.87
2023-05-01,5.31,4.13,3.59,3.58,3.57,3.86
2023-04-01,5.07,4.02,3.54,3.5,3.46,3.68
2023-03-01,4.86,4.3,3.82,3.77,3.66,3.77
2023-02-01,4.79,4.53,3.94,3.86,3.75,3.8
2023-01-01,4.69,4.21,3.64,3.59,3.53,3.66
2022-12-01,4.36,4.29,3.76,3.72,3.62,3.66
2022-11-01,4.32,4.5,4.06,3.99,3.89,4.0
2022-10-01,3.87,4.38,4.18,4.09,3.98,4.04
2022-09-01,3.22,3.86,3.7,3.64,3.52,3.56
2022-08-01,2.72,3.25,3.03,2.98,2.9,3.13
2022-07-01,2.3,3.04,2.96,2.97,2.9,3.1
2022-06-01,1.54,3.0,3.19,3.21,3.14,3.25
2022-05-01,0.99,2.62,2.87,2.92,2.9,3.07
2022-04-01,0.76,2.54,2.78,2.8,2.75,2.81
2022-03-01,0.45,1.91,2.11,2.15,2.13,2.41
2022-02-01,0.31,1.44,1.81,1.91,1.93,2.25
